Year,Month,State,County,Rate
2015,August,Michigan,Chippewa County,6
2015,August,Michigan,Clinton County,3.4
2015,August,Michigan,Manistee County,5
2015,August,Michigan,Osceola County,5.3
2015,August,Michigan,Ottawa County,3.2
2015,August,Michigan,Lenawee County,4.3
2015,August,Michigan,Ionia County,4
2015,August,Michigan,Sanilac County,5.4
2015,August,Michigan,Gogebic County,6.3
2015,August,Michigan,Delta County,5.6
2015,August,Michigan,Otsego County,4.8
2015,August,Michigan,Montcalm County,4.8
2015,August,Michigan,Monroe County,4
2015,August,Michigan,Shiawassee County,4.7
2015,August,Michigan,Iron County,5.5
2015,August,Michigan,Ingham County,4.2
2015,August,Michigan,Branch County,4.3
2015,August,Michigan,Saint Clair County,6.8
2015,August,Michigan,Schoolcraft County,9.4
2015,August,Michigan,Kalamazoo County,3.9
2015,August,Michigan,Keweenaw County,6.2
2015,August,Michigan,Ogemaw County,6.2
2015,August,Michigan,Leelanau County,3.7
2015,August,Michigan,Midland County,4.1
2015,August,Michigan,Antrim County,5.3
2015,August,Michigan,Ontonagon County,7.9
2015,August,Michigan,Newaygo County,4.5
2015,August,Michigan,Kent County,3.4
2015,August,Michigan,Presque Isle County,7
2015,August,Michigan,Luce County,5.1
2015,August,Michigan,Van Buren County,5
2015,July,Michigan,Livingston County,5.6
2015,July,Michigan,Clare County,8.1
2015,July,Michigan,Macomb County,7.2
2015,July,Michigan,Baraga County,9.8
2015,July,Michigan,Mason County,5.7
2015,July,Michigan,Eaton County,5.1
2015,July,Michigan,Calhoun County,6
2015,July,Michigan,Iosco County,7.4
2015,July,Michigan,Benzie County,6.4
2015,July,Michigan,Alcona County,7.9
2015,July,Michigan,Alger County,8
2015,July,Michigan,Gladwin County,7.6
2015,July,Michigan,Huron County,5.6
2015,July,Michigan,Mecosta County,7.5
2015,July,Michigan,Menominee County,6
2015,July,Michigan,Marquette County,7.3
2015,July,Michigan,Gratiot County,6.6
2015,July,Michigan,Kalkaska County,7.1
2015,July,Michigan,Montmorency County,9.5
2015,July,Michigan,Saint Joseph County,5.9
2015,July,Michigan,Charlevoix County,5.4
2015,July,Michigan,Mackinac County,3.5
2015,July,Michigan,Washtenaw County,4.7
2015,July,Michigan,Dickinson County,5.9
2015,July,Michigan,Barry County,4.7
2015,July,Michigan,Arenac County,8.4
2015,July,Michigan,Tuscola County,7.4
2015,July,Michigan,Oscoda County,8.7
2015,July,Michigan,Wayne County,8.6
2015,July,Michigan,Roscommon County,8.8
2015,July,Michigan,Alpena County,6.4
2015,July,Michigan,Jackson County,6.3
2015,July,Michigan,Saginaw County,6.5
2015,July,Michigan,Missaukee County,6.8
2015,July,Michigan,Genesee County,7.1
2015,July,Michigan,Hillsdale County,6.2
2015,July,Michigan,Cheboygan County,4.9
2015,July,Michigan,Wexford County,7.2
2015,July,Michigan,Berrien County,5.7
2015,July,Michigan,Oceana County,7.2
2015,July,Michigan,Oakland County,6
2015,July,Michigan,Lapeer County,8.4
2015,July,Michigan,Cass County,5.8
2015,July,Michigan,Allegan County,4.6
2015,July,Michigan,Crawford County,7.8
2015,July,Michigan,Bay County,6.3
2015,July,Michigan,Emmet County,6.1
2015,July,Michigan,Grand Traverse County,4.6
2015,July,Michigan,Isabella County,5.8
2015,July,Michigan,Houghton County,7.3
2015,July,Michigan,Muskegon County,6.6
2015,July,Michigan,Lake County,8.8
2015,July,Michigan,Chippewa County,7.8
2015,July,Michigan,Clinton County,4.5
2015,July,Michigan,Manistee County,6.4
2015,July,Michigan,Osceola County,7.6
2015,July,Michigan,Ottawa County,4.3
2015,July,Michigan,Lenawee County,5.9
2015,July,Michigan,Ionia County,5.2
2015,July,Michigan,Sanilac County,7.2
2015,July,Michigan,Gogebic County,8
2015,July,Michigan,Delta County,7.1
2015,July,Michigan,Otsego County,6.3
2015,July,Michigan,Montcalm County,6.4
2015,July,Michigan,Monroe County,5.4
2015,July,Michigan,Shiawassee County,6.5
2015,July,Michigan,Iron County,6.7
2015,July,Michigan,Ingham County,5.7
2015,July,Michigan,Branch County,6
2015,July,Michigan,Saint Clair County,8.1
2015,July,Michigan,Schoolcraft County,11.7
2015,July,Michigan,Kalamazoo County,5.2
2015,July,Michigan,Keweenaw County,8.3
2015,July,Michigan,Ogemaw County,7.9
2015,July,Michigan,Leelanau County,4.7
2015,July,Michigan,Midland County,5.4
2015,July,Michigan,Antrim County,6.7
2015,July,Michigan,Ontonagon County,10.1
2015,July,Michigan,Newaygo County,6
2015,July,Michigan,Kent County,4.4
2015,July,Michigan,Presque Isle County,8.7
2015,July,Michigan,Luce County,6.6
2015,July,Michigan,Van Buren County,6.4
2014,February,Michigan,Livingston County,7.4
2014,February,Michigan,Clare County,12.2
2014,February,Michigan,Macomb County,9.1
2014,February,Michigan,Baraga County,14
2014,February,Michigan,Mason County,10.5
2014,February,Michigan,Eaton County,6.2
2014,February,Michigan,Calhoun County,7.5
2014,February,Michigan,Iosco County,13.2
2014,February,Michigan,Benzie County,12.2
2014,February,Michigan,Alcona County,14.6
2014,February,Michigan,Alger County,12.9
2014,February,Michigan,Gladwin County,12
2014,February,Michigan,Huron County,9
2014,February,Michigan,Mecosta County,9.6
2014,February,Michigan,Menominee County,8.2
2014,February,Michigan,Marquette County,8.3
2014,February,Michigan,Gratiot County,8.5
2014,February,Michigan,Kalkaska County,12.7
2014,February,Michigan,Montmorency County,16.9
2014,February,Michigan,Saint Joseph County,6.8
2014,February,Michigan,Charlevoix County,11.3
2014,February,Michigan,Mackinac County,25.6
2014,February,Michigan,Washtenaw County,5.2
2014,February,Michigan,Dickinson County,8.7
2014,February,Michigan,Barry County,6.5
2014,February,Michigan,Arenac County,15.1
2014,February,Michigan,Tuscola County,10.8
2014,February,Michigan,Oscoda County,15.3
2014,February,Michigan,Wayne County,10.6
2014,February,Michigan,Roscommon County,15.3
2014,February,Michigan,Alpena County,10.4
2014,February,Michigan,Jackson County,7.9
2014,February,Michigan,Saginaw County,8.9
2014,February,Michigan,Missaukee County,10
2014,February,Michigan,Genesee County,9.3
2014,February,Michigan,Hillsdale County,8.5
2014,February,Michigan,Cheboygan County,20.3
2014,February,Michigan,Wexford County,10.4
2014,February,Michigan,Berrien County,8.5
2014,February,Michigan,Oceana County,14.6
2014,February,Michigan,Oakland County,7.3
2014,February,Michigan,Lapeer County,12.1
2014,February,Michigan,Cass County,8
2014,February,Michigan,Allegan County,6.8
2014,February,Michigan,Crawford County,12.3
2014,February,Michigan,Bay County,8.9
2014,February,Michigan,Emmet County,13.6
2014,February,Michigan,Grand Traverse County,8.2
2014,February,Michigan,Isabella County,6.7
2014,February,Michigan,Houghton County,8.8
2014,February,Michigan,Muskegon County,9.2
2014,February,Michigan,Lake County,14.4
2014,February,Michigan,Chippewa County,12.3
2014,February,Michigan,Clinton County,5.7
2014,February,Michigan,Manistee County,11.4
2014,February,Michigan,Osceola County,10.5
2014,February,Michigan,Ottawa County,5.6
2014,February,Michigan,Lenawee County,7.5
2014,February,Michigan,Ionia County,7.4
2014,February,Michigan,Sanilac County,11.4
2014,February,Michigan,Gogebic County,10.3
2014,February,Michigan,Delta County,10.8
2014,February,Michigan,Otsego County,10.4
2014,February,Michigan,Montcalm County,9.4
2014,February,Michigan,Monroe County,6.9
2014,February,Michigan,Shiawassee County,9.3
2014,February,Michigan,Iron County,11.3
2014,February,Michigan,Ingham County,6.7
2014,February,Michigan,Branch County,8.3
2014,February,Michigan,Saint Clair County,11.8
2014,February,Michigan,Schoolcraft County,14.6
2014,February,Michigan,Kalamazoo County,6.4
2014,February,Michigan,Keweenaw County,12.8
2014,February,Michigan,Ogemaw County,13.3
2014,February,Michigan,Leelanau County,9.7
2014,February,Michigan,Midland County,7.5
2014,February,Michigan,Antrim County,12.7
2014,February,Michigan,Ontonagon County,12.2
2014,February,Michigan,Newaygo County,9.1
2014,February,Michigan,Kent County,5.7
2014,February,Michigan,Presque Isle County,19.2
2014,February,Michigan,Luce County,10.3
2014,February,Michigan,Van Buren County,10.5
2014,October,Michigan,Livingston County,6
2014,October,Michigan,Clare County,7.5
2014,October,Michigan,Macomb County,7.3
2014,October,Michigan,Baraga County,8.3
2014,October,Michigan,Mason County,5.3
2014,October,Michigan,Eaton County,5.1
2014,October,Michigan,Calhoun County,5.3
2014,October,Michigan,Iosco County,7.1
2014,October,Michigan,Benzie County,6
2014,October,Michigan,Alcona County,7.4
2014,October,Michigan,Alger County,7.6
2014,October,Michigan,Gladwin County,7.1
2014,October,Michigan,Huron County,4.9
2014,October,Michigan,Mecosta County,6
2014,October,Michigan,Menominee County,5.4
2014,October,Michigan,Marquette County,5.3
2014,October,Michigan,Gratiot County,5.6
2014,October,Michigan,Kalkaska County,6.9
2014,October,Michigan,Montmorency County,9.4
2014,October,Michigan,Saint Joseph County,4.8
2014,October,Michigan,Charlevoix County,5.9
2014,October,Michigan,Mackinac County,4.5
2014,October,Michigan,Washtenaw County,4.2
2014,October,Michigan,Dickinson County,5.4
2014,October,Michigan,Barry County,4.3
2014,October,Michigan,Arenac County,8
2014,October,Michigan,Tuscola County,6.4
2014,October,Michigan,Oscoda County,9.1
2014,October,Michigan,Wayne County,9.3
2014,October,Michigan,Roscommon County,8.3
2014,October,Michigan,Alpena County,5.9
2014,October,Michigan,Jackson County,5.5
2014,October,Michigan,Saginaw County,5.9
2014,October,Michigan,Missaukee County,5.7
2014,October,Michigan,Genesee County,6.3
2014,October,Michigan,Hillsdale County,5.7
2014,October,Michigan,Cheboygan County,5.2
2014,October,Michigan,Wexford County,6.8
2014,October,Michigan,Berrien County,5.3
2014,October,Michigan,Oceana County,6.9
2014,October,Michigan,Oakland County,6.2
2014,October,Michigan,Lapeer County,8.1
2014,October,Michigan,Cass County,5.4
2014,October,Michigan,Allegan County,4.2
2014,October,Michigan,Crawford County,7.1
2014,October,Michigan,Bay County,5.5
2014,October,Michigan,Emmet County,6.4
2014,October,Michigan,Grand Traverse County,4.5
2014,October,Michigan,Isabella County,4.8
2014,October,Michigan,Houghton County,5.7
2014,October,Michigan,Muskegon County,6.2
2014,October,Michigan,Lake County,8.7
2014,October,Michigan,Chippewa County,6.7
2014,October,Michigan,Clinton County,4.4
2014,October,Michigan,Manistee County,6
2014,October,Michigan,Osceola County,6.7
2014,October,Michigan,Ottawa County,4
2014,October,Michigan,Lenawee County,5.2
2014,October,Michigan,Ionia County,5.1
2014,October,Michigan,Sanilac County,6.1
2014,October,Michigan,Gogebic County,6.9
2014,October,Michigan,Delta County,6.3
2014,October,Michigan,Otsego County,6.1
2014,October,Michigan,Montcalm County,5.8
2014,October,Michigan,Monroe County,4.8
2014,October,Michigan,Shiawassee County,6
2014,October,Michigan,Iron County,6.2
2014,October,Michigan,Ingham County,5.4
2014,October,Michigan,Branch County,5.4
2014,October,Michigan,Saint Clair County,8.3
2014,October,Michigan,Schoolcraft County,7.8
2014,October,Michigan,Kalamazoo County,4.7
2014,October,Michigan,Keweenaw County,7
2014,October,Michigan,Ogemaw County,7.1
2014,October,Michigan,Leelanau County,4.7
2014,October,Michigan,Midland County,4.8
2014,October,Michigan,Antrim County,6.9
2014,October,Michigan,Ontonagon County,8.8
2014,October,Michigan,Newaygo County,5.4
2014,October,Michigan,Kent County,4.1
2014,October,Michigan,Presque Isle County,8.1
2014,October,Michigan,Luce County,6.2
2014,October,Michigan,Van Buren County,6
2014,March,Michigan,Livingston County,7.3
2014,March,Michigan,Clare County,12.1
2014,March,Michigan,Macomb County,9.1
2014,March,Michigan,Baraga County,13.9
2014,March,Michigan,Mason County,10.1
2014,March,Michigan,Eaton County,6.2
2014,March,Michigan,Calhoun County,7.3
2014,March,Michigan,Iosco County,12.8
2014,March,Michigan,Benzie County,11.9
2014,March,Michigan,Alcona County,14.5
2014,March,Michigan,Alger County,12.9
2014,March,Michigan,Gladwin County,11.7
2014,March,Michigan,Huron County,9.1
2014,March,Michigan,Mecosta County,9.4
2014,March,Michigan,Menominee County,8.6
2014,March,Michigan,Marquette County,8.4
2014,March,Michigan,Gratiot County,8.4
2014,March,Michigan,Kalkaska County,12.7
2014,March,Michigan,Montmorency County,16.5
2014,March,Michigan,Saint Joseph County,6.7
2014,March,Michigan,Charlevoix County,11
2014,March,Michigan,Mackinac County,25.2
2014,March,Michigan,Washtenaw County,5.2
2014,March,Michigan,Dickinson County,8.5
2014,March,Michigan,Barry County,6.6
2014,March,Michigan,Arenac County,14.6
2014,March,Michigan,Tuscola County,10.5
2014,March,Michigan,Oscoda County,14.6
2014,March,Michigan,Wayne County,10.5
2014,March,Michigan,Roscommon County,15
2014,March,Michigan,Alpena County,10.2
2014,March,Michigan,Jackson County,7.8
2014,March,Michigan,Saginaw County,9
2014,March,Michigan,Missaukee County,9.8
2014,March,Michigan,Genesee County,9.1
2014,March,Michigan,Hillsdale County,8.3
2014,March,Michigan,Cheboygan County,19.9
2014,March,Michigan,Wexford County,10.2
2014,March,Michigan,Berrien County,8.2
2014,March,Michigan,Oceana County,14
2014,March,Michigan,Oakland County,7.3
2014,March,Michigan,Lapeer County,11.8
2014,March,Michigan,Cass County,7.9
2014,March,Michigan,Allegan County,6.6
2014,March,Michigan,Crawford County,12.1
2014,March,Michigan,Bay County,8.9
2014,March,Michigan,Emmet County,13.4
2014,March,Michigan,Grand Traverse County,8
2014,March,Michigan,Isabella County,6.8
2014,March,Michigan,Houghton County,9
2014,March,Michigan,Muskegon County,9
2014,March,Michigan,Lake County,13.7
2014,March,Michigan,Chippewa County,12.1
2014,March,Michigan,Clinton County,5.7
2014,March,Michigan,Manistee County,11.3
2014,March,Michigan,Osceola County,9.9
2014,March,Michigan,Ottawa County,5.5
2014,March,Michigan,Lenawee County,7.4
2014,March,Michigan,Ionia County,7.2
2014,March,Michigan,Sanilac County,11.2
2014,March,Michigan,Gogebic County,10.2
2014,March,Michigan,Delta County,10.6
2014,March,Michigan,Otsego County,10.5
2014,March,Michigan,Montcalm County,9.2
2014,March,Michigan,Monroe County,6.8
2014,March,Michigan,Shiawassee County,9.1
2014,March,Michigan,Iron County,11.5
2014,March,Michigan,Ingham County,6.7
2014,March,Michigan,Branch County,7.8
2014,March,Michigan,Saint Clair County,11.5
2014,March,Michigan,Schoolcraft County,14.6
2014,March,Michigan,Kalamazoo County,6.4
2014,March,Michigan,Keweenaw County,13.8
2014,March,Michigan,Ogemaw County,12.8
2014,March,Michigan,Leelanau County,9.4
2014,March,Michigan,Midland County,7.5
2014,March,Michigan,Antrim County,13
2014,March,Michigan,Ontonagon County,12.9
2014,March,Michigan,Newaygo County,8.8
2014,March,Michigan,Kent County,5.7
2014,March,Michigan,Presque Isle County,18.4
2014,March,Michigan,Luce County,10.5
2014,March,Michigan,Van Buren County,10.1
2014,August,Michigan,Livingston County,6.5
2014,August,Michigan,Clare County,8.8
2014,August,Michigan,Macomb County,8.4
2014,August,Michigan,Baraga County,10.1
2014,August,Michigan,Mason County,6.4
2014,August,Michigan,Eaton County,5.8
2014,August,Michigan,Calhoun County,6.2
2014,August,Michigan,Iosco County,8.5
2014,August,Michigan,Benzie County,6.8
2014,August,Michigan,Alcona County,8.9
2014,August,Michigan,Alger County,8.5
2014,August,Michigan,Gladwin County,8.2
2014,August,Michigan,Huron County,6.2
2014,August,Michigan,Mecosta County,7.5
2014,August,Michigan,Menominee County,6.7
2014,August,Michigan,Marquette County,6.8
2014,August,Michigan,Gratiot County,7
2014,August,Michigan,Kalkaska County,7.7
2014,August,Michigan,Montmorency County,11.1
2014,August,Michigan,Saint Joseph County,5.7
2014,August,Michigan,Charlevoix County,6.6
2014,August,Michigan,Mackinac County,3.8
2014,August,Michigan,Washtenaw County,5
2014,August,Michigan,Dickinson County,6
2014,August,Michigan,Barry County,5.2
2014,August,Michigan,Arenac County,9.3
2014,August,Michigan,Tuscola County,7.8
2014,August,Michigan,Oscoda County,10.2
2014,August,Michigan,Wayne County,10.5
2014,August,Michigan,Roscommon County,9.8
2014,August,Michigan,Alpena County,7.3
2014,August,Michigan,Jackson County,6.4
2014,August,Michigan,Saginaw County,7.2
2014,August,Michigan,Missaukee County,6.7
2014,August,Michigan,Genesee County,7.6
2014,August,Michigan,Hillsdale County,6.7
2014,August,Michigan,Cheboygan County,5.2
2014,August,Michigan,Wexford County,7.6
2014,August,Michigan,Berrien County,6.4
2014,August,Michigan,Oceana County,7.7
2014,August,Michigan,Oakland County,7
2014,August,Michigan,Lapeer County,9.2
2014,August,Michigan,Cass County,6.5
2014,August,Michigan,Allegan County,5.2
2014,August,Michigan,Crawford County,8.2
2014,August,Michigan,Bay County,6.8
2014,August,Michigan,Emmet County,7.1
2014,August,Michigan,Grand Traverse County,5.2
2014,August,Michigan,Isabella County,5.8
2014,August,Michigan,Houghton County,7.3
2014,August,Michigan,Muskegon County,7.4
2014,August,Michigan,Lake County,9.9
2014,August,Michigan,Chippewa County,8.3
2014,August,Michigan,Clinton County,5
2014,August,Michigan,Manistee County,7.2
2014,August,Michigan,Osceola County,7.7
2014,August,Michigan,Ottawa County,4.7
2014,August,Michigan,Lenawee County,6.2
2014,August,Michigan,Ionia County,6
2014,August,Michigan,Sanilac County,7.4
2014,August,Michigan,Gogebic County,8.3
2014,August,Michigan,Delta County,7.6
2014,August,Michigan,Otsego County,7
2014,August,Michigan,Montcalm County,7.2
2014,August,Michigan,Monroe County,6.3
2014,August,Michigan,Shiawassee County,7.1
2014,August,Michigan,Iron County,7.4
2014,August,Michigan,Ingham County,6.4
2014,August,Michigan,Branch County,6.3
2014,August,Michigan,Saint Clair County,9.7
2014,August,Michigan,Schoolcraft County,9.3
2014,August,Michigan,Kalamazoo County,5.7
2014,August,Michigan,Keweenaw County,9.3
2014,August,Michigan,Ogemaw County,8.5
2014,August,Michigan,Leelanau County,5.4
2014,August,Michigan,Midland County,5.9
2014,August,Michigan,Antrim County,7.4
2014,August,Michigan,Ontonagon County,10.8
2014,August,Michigan,Newaygo County,6.7
2014,August,Michigan,Kent County,5
2014,August,Michigan,Presque Isle County,9.9
2014,August,Michigan,Luce County,7.1
2014,August,Michigan,Van Buren County,7.2
2014,May,Michigan,Livingston County,6.8
2014,May,Michigan,Clare County,10.1
2014,May,Michigan,Macomb County,8.2
2014,May,Michigan,Baraga County,12.8
2014,May,Michigan,Mason County,7.4
2014,May,Michigan,Eaton County,6.5
2014,May,Michigan,Calhoun County,6.6
2014,May,Michigan,Iosco County,9.7
2014,May,Michigan,Benzie County,8.7
2014,May,Michigan,Alcona County,10.8
2014,May,Michigan,Alger County,11.5
2014,May,Michigan,Gladwin County,9.3
2014,May,Michigan,Huron County,7
2014,May,Michigan,Mecosta County,8.7
2014,May,Michigan,Menominee County,7.2
2014,May,Michigan,Marquette County,7.7
2014,May,Michigan,Gratiot County,7.3
2014,May,Michigan,Kalkaska County,9.8
2014,May,Michigan,Montmorency County,12.7
2014,May,Michigan,Saint Joseph County,6
2014,May,Michigan,Charlevoix County,8.5
2014,May,Michigan,Mackinac County,6
2014,May,Michigan,Washtenaw County,5.4
2014,May,Michigan,Dickinson County,7.2
2014,May,Michigan,Barry County,5.6
2014,May,Michigan,Arenac County,10.8
2014,May,Michigan,Tuscola County,8.9
2014,May,Michigan,Oscoda County,11.7
2014,May,Michigan,Wayne County,10.2
2014,May,Michigan,Roscommon County,11.6
2014,May,Michigan,Alpena County,8.1
2014,May,Michigan,Jackson County,6.9
2014,May,Michigan,Saginaw County,7.9
2014,May,Michigan,Missaukee County,7.7
2014,May,Michigan,Genesee County,8.2
2014,May,Michigan,Hillsdale County,7.3
2014,May,Michigan,Cheboygan County,7.5
2014,May,Michigan,Wexford County,8.6
2014,May,Michigan,Berrien County,7.1
2014,May,Michigan,Oceana County,9.8
2014,May,Michigan,Oakland County,6.9
2014,May,Michigan,Lapeer County,9.6
2014,May,Michigan,Cass County,7
2014,May,Michigan,Allegan County,5.6
2014,May,Michigan,Crawford County,9.6
2014,May,Michigan,Bay County,7.5
2014,May,Michigan,Emmet County,9.5
2014,May,Michigan,Grand Traverse County,6.2
2014,May,Michigan,Isabella County,6.3
2014,May,Michigan,Houghton County,8.9
2014,May,Michigan,Muskegon County,7.9
2014,May,Michigan,Lake County,11.2
2014,May,Michigan,Chippewa County,10.1
2014,May,Michigan,Clinton County,5.7
2014,May,Michigan,Manistee County,8.6
2014,May,Michigan,Osceola County,9.2
2014,May,Michigan,Ottawa County,5
2014,May,Michigan,Lenawee County,6.9
2014,May,Michigan,Ionia County,6.5
2014,May,Michigan,Sanilac County,8.7
2014,May,Michigan,Gogebic County,10.2
2014,May,Michigan,Delta County,8.8
2014,May,Michigan,Otsego County,8.3
2014,May,Michigan,Montcalm County,7.8
2014,May,Michigan,Monroe County,6.4
2014,May,Michigan,Shiawassee County,7.9
2014,May,Michigan,Iron County,9.4
2014,May,Michigan,Ingham County,6.9
2014,May,Michigan,Branch County,6.8
2014,May,Michigan,Saint Clair County,9.8
2014,May,Michigan,Schoolcraft County,11
2014,May,Michigan,Kalamazoo County,6.1
2014,May,Michigan,Keweenaw County,12.7
2014,May,Michigan,Ogemaw County,9.9
2014,May,Michigan,Leelanau County,6.6
2014,May,Michigan,Midland County,6.3
2014,May,Michigan,Antrim County,9.7
2014,May,Michigan,Ontonagon County,13.3
2014,May,Michigan,Newaygo County,7.3
2014,May,Michigan,Kent County,5.3
2014,May,Michigan,Presque Isle County,12.2
2014,May,Michigan,Luce County,8.8
2014,May,Michigan,Van Buren County,8.3
2014,January,Michigan,Livingston County,7.2
2014,January,Michigan,Clare County,12.3
2014,January,Michigan,Macomb County,8.9
2014,January,Michigan,Baraga County,13.9
2014,January,Michigan,Mason County,10.4
2014,January,Michigan,Eaton County,6
2014,January,Michigan,Calhoun County,7.3
2014,January,Michigan,Iosco County,13.1
2014,January,Michigan,Benzie County,11.9
2014,January,Michigan,Alcona County,14.1
2014,January,Michigan,Alger County,13.2
2014,January,Michigan,Gladwin County,11.7
2014,January,Michigan,Huron County,8.8
2014,January,Michigan,Mecosta County,9.3
2014,January,Michigan,Menominee County,7.6
2014,January,Michigan,Marquette County,8.1
2014,January,Michigan,Gratiot County,8.7
2014,January,Michigan,Kalkaska County,12.1
2014,January,Michigan,Montmorency County,17
2014,January,Michigan,Saint Joseph County,7.2
2014,January,Michigan,Charlevoix County,11.1
2014,January,Michigan,Mackinac County,24.8
2014,January,Michigan,Washtenaw County,5.1
2014,January,Michigan,Dickinson County,7.9
2014,January,Michigan,Barry County,6.3
2014,January,Michigan,Arenac County,15.2
2014,January,Michigan,Tuscola County,11
2014,January,Michigan,Oscoda County,15.5
2014,January,Michigan,Wayne County,10.8
2014,January,Michigan,Roscommon County,15.1
2014,January,Michigan,Alpena County,10.2
2014,January,Michigan,Jackson County,7.8
2014,January,Michigan,Saginaw County,9
2014,January,Michigan,Missaukee County,10.2
2014,January,Michigan,Genesee County,10
2014,January,Michigan,Hillsdale County,8.4
2014,January,Michigan,Cheboygan County,19.2
2014,January,Michigan,Wexford County,10.5
2014,January,Michigan,Berrien County,8.3
2014,January,Michigan,Oceana County,14.4
2014,January,Michigan,Oakland County,7.1
2014,January,Michigan,Lapeer County,12.2
2014,January,Michigan,Cass County,8.2
2014,January,Michigan,Allegan County,6.6
2014,January,Michigan,Crawford County,12.2
2014,January,Michigan,Bay County,8.9
2014,January,Michigan,Emmet County,13.2
2014,January,Michigan,Grand Traverse County,7.9
2014,January,Michigan,Isabella County,6.4
2014,January,Michigan,Houghton County,8.4
2014,January,Michigan,Muskegon County,9.3
2014,January,Michigan,Lake County,14.1
2014,January,Michigan,Chippewa County,12
2014,January,Michigan,Clinton County,5.5
2014,January,Michigan,Manistee County,11.1
2014,January,Michigan,Osceola County,10.6
2014,January,Michigan,Ottawa County,5.4
2014,January,Michigan,Lenawee County,7.6
2014,January,Michigan,Ionia County,7.5
2014,January,Michigan,Sanilac County,11.3
2014,January,Michigan,Gogebic County,9.8
2014,January,Michigan,Delta County,10.5
2014,January,Michigan,Otsego County,10.1
2014,January,Michigan,Montcalm County,9.2
2014,January,Michigan,Monroe County,7.6
2014,January,Michigan,Shiawassee County,9.5
2014,January,Michigan,Iron County,10.8
2014,January,Michigan,Ingham County,6.6
2014,January,Michigan,Branch County,8.2
2014,January,Michigan,Saint Clair County,11.7
2014,January,Michigan,Schoolcraft County,14.3
2014,January,Michigan,Kalamazoo County,6.2
2014,January,Michigan,Keweenaw County,13.1
2014,January,Michigan,Ogemaw County,13
2014,January,Michigan,Leelanau County,9.2
2014,January,Michigan,Midland County,7.4
2014,January,Michigan,Antrim County,12.6
2014,January,Michigan,Ontonagon County,12
2014,January,Michigan,Newaygo County,8.9
2014,January,Michigan,Kent County,5.6
2014,January,Michigan,Presque Isle County,17.7
2014,January,Michigan,Luce County,10.4
2014,January,Michigan,Van Buren County,10.3
2014,June,Michigan,Livingston County,7
2014,June,Michigan,Clare County,9.7
2014,June,Michigan,Macomb County,8.5
2014,June,Michigan,Baraga County,12.2
2014,June,Michigan,Mason County,6.9
2014,June,Michigan,Eaton County,5.9
2014,June,Michigan,Calhoun County,6.6
2014,June,Michigan,Iosco County,9.1
2014,June,Michigan,Benzie County,7.8
2014,June,Michigan,Alcona County,10.1
2014,June,Michigan,Alger County,9.6
2014,June,Michigan,Gladwin County,9.1
2014,June,Michigan,Huron County,6.7
2014,June,Michigan,Mecosta County,8.7
2014,June,Michigan,Menominee County,6.8
2014,June,Michigan,Marquette County,7.5
2014,June,Michigan,Gratiot County,7.5
2014,June,Michigan,Kalkaska County,8.9
2014,June,Michigan,Montmorency County,11.9
2014,June,Michigan,Saint Joseph County,6
2014,June,Michigan,Charlevoix County,7.4
2014,June,Michigan,Mackinac County,4.5
2014,June,Michigan,Washtenaw County,5.5
